CODIGO,MUNICIPIO,OBS_REGISTROS,AÑOS_PRESENTES,NOTA_PANEL,PROM_AUTONOMIA_FISCAL,PROM_DEPENDENCIA_FCM,PROM_TRANSFERENCIAS_SOBRE_INGRESOS,PROM_IMPUESTOS_SOBRE_INGRESOS,PROM_GASTO_CORRIENTE_SOBRE_GASTO_TOTAL,PROM_SERV_COMUNITARIOS_SOBRE_GASTO_TOTAL,PROM_DISPONIBILIDAD_PRESUP_X_HAB,PROM_IPPP,GRUPO_FIGEM_MODAL_2016_2024,CAMBIOS_GRUPO_FIGEM_2016_2024,GRUPO_FIGEM_2024,MONTO_FIGEM_PROM_2016_2024,MONTO_FIGEM_2024,NOTA_MATCH_FIGEM,LOG_PROM_DISPONIBILIDAD_PRESUP_X_HAB,LOG_PROM_IPPP,CLUSTER_FINAL,Z_PROM_DEPENDENCIA_FCM,Z_PROM_TRANSFERENCIAS_SOBRE_INGRESOS,Z_PROM_GASTO_CORRIENTE_SOBRE_GASTO_TOTAL,Z_PROM_SERV_COMUNITARIOS_SOBRE_GASTO_TOTAL,Z_LOG_PROM_DISPONIBILIDAD_PRESUP_X_HAB,Z_LOG_PROM_IPPP,DISTANCIA_CENTROIDE,NOMBRE_CLUSTER
5303,RINCONADA,7,7,REVISAR FALTANTES,0.5454694916147312,0.174499062463842,0.5015501904185607,0.06981744605490936,0.6869359623222933,0.168305991135854,775.1514285714286,393.88,3,0,3,31912385.57142857,0,,6.654347641057537,5.978581921276969,2,-1.5368287911395322,2.6738299022079626,-1.1912847387327918,-0.7430592701061921,0.8931761960579266,1.8431572587362282,3.042956018723978,Mayor holgura fiscal y capacidad propia
5304,SAN ESTEBAN,9,9,OK,0.2652770170614887,0.5110196081780638,0.1406872883732123,0.1519931399290985,0.7927126069594057,0.1840150187072631,253.78,67.34666666666666,4,0,4,10955982.75,0,,5.540400427681641,4.224592793387706,1,0.22652306482177187,-0.29278304658635973,0.2086030917365993,-0.6222366100665079,-0.6504225119714742,-0.35734598004361856,0.6855975343255125,Dependencia fiscal intermedia y operación corriente alta
5401,LA LIGUA,9,9,OK,0.2783727104438739,0.5432046177104909,0.06406500457948879,0.1588811059943831,0.7961819559548219,0.2194825834689228,251.1,69.5988888888889,4,0,4,0.0,0,,5.529825834193874,4.25701440625763,1,0.3951710033085158,-0.9226861426937241,0.25451775895823575,-0.3494453440155881,-0.6650757456702112,-0.31667077687825534,0.6717183610327392,Dependencia fiscal intermedia y operación corriente alta
5402,CABILDO,9,9,OK,0.2276145663693247,0.5592926863995544,0.1331301164254616,0.128592050404152,0.8103638829432097,0.2000038547489716,251.0766666666667,57.15777777777777,4,0,4,0.0,0,,5.529733274046241,4.063159623722556,1,0.4794717277159475,-0.3549096991998363,0.44220670552824204,-0.49926186241162734,-0.6652040064374947,-0.5598752928234221,0.5882234977248993,Dependencia fiscal intermedia y operación corriente alta
5403,PAPUDO,9,9,OK,0.465231659988086,0.2292192348171523,0.05030078684454285,0.2974934891862319,0.7570103063952446,0.1549848338896572,996.2222222222222,464.8755555555556,4,0,4,39498673.22222222,90640022,,6.9049736360202605,6.143918550297892,2,-1.2500976577612044,-1.0358402140351548,-0.2638945588647518,-0.8455161310402036,1.2404690995076493,2.0505837369649194,1.6064434821603475,Mayor holgura fiscal y capacidad propia
5404,PETORCA,9,9,OK,0.2214674993275826,0.4251405325266742,0.1731722125360661,0.1399742115301818,0.7033392566224146,0.2820279309545005,473.0666666666667,107.5066666666667,5,0,5,45617699.875,94798085,,6.161347958781308,4.686811615025325,1,-0.2234792585630235,-0.02572817307095146,-0.9741973831154334,0.1316089556195882,0.210025627087744,0.22254017652713107,1.7220463304878797,Dependencia fiscal intermedia y operación corriente alta
5405,ZAPALLAR,9,9,OK,0.7089614433016105,0.06634528226503396,0.01733174326474294,0.6282684866564365,0.7037081718597171,0.237409995982123,2587.977777777778,1828.152222222222,4,0,4,54572279.03924435,89233119,,7.859018396392097,7.511607871949134,2,-2.1035495202945227,-1.3068749783149913,-0.9693150203505121,-0.21156044581757202,2.562490683501004,3.7664465858754514,3.211006181935451,Mayor holgura fiscal y capacidad propia
5501,QUILLOTA,9,9,OK,0.3505466154488188,0.4517737012538576,0.05894550805036422,0.2034286030907189,0.8329365199105785,0.378035546003371,189.2755555555556,65.9588888888889,2,0,2,82655605.72741362,136116121,,5.248473313899846,4.204078832388957,1,-0.08392270517180336,-0.9647729424410141,0.7409414583711799,0.8700312024162463,-1.0549464519404963,-0.3830821929426538,1.3683969551907496,Dependencia fiscal intermedia y operación corriente alta
5502,CALERA,9,9,OK,0.3295909252060672,0.5095977014816552,0.08141578696154106,0.2056768277774816,0.8185492732102224,0.4567409572792104,201.3788888888889,64.75888888888889,2,0,2,78413270.56289509,0,,5.310141628064628,4.185994854146675,1,0.21907234050776456,-0.7800473305726592,0.5505352336427871,1.4753772116862065,-0.9694925552673997,-0.4057698208528979,1.6435972882202248,Dependencia fiscal intermedia y operación corriente alta
5503,HIJUELAS,9,9,OK,0.3250134919607059,0.4594909538873332,0.09455343042064801,0.231399438325725,0.8080461847409498,0.201772399994674,263.7411111111111,86.23555555555555,3,0,3,90729951.15006055,119725276,,5.578752409266736,4.468611995005374,1,-0.043484663787792914,-0.6720442552176538,0.411533417306864,-0.4856594710468552,-0.5972781003563947,-0.05120665742972599,0.8287424214957595,Dependencia fiscal intermedia y operación corriente alta
